mt,mr,mre,mp
"POCO C3 (Matte Black, 32 GB)",4.3,"2,78,837 Ratings & 19,444 Reviews","₹7,499"
"POCO M3 (Power Black, 64 GB)",4.3,"2,95,024 Ratings & 21,206 Reviews","₹11,499"
"REDMI 9 Power (Blazing Blue, 64 GB)",4.3,"1,17,557 Ratings & 8,132 Reviews","₹10,999"
"realme C25s (Watery Grey, 128 GB)",4.3,"5,838 Ratings & 375 Reviews","₹11,499"
"REDMI 9 Prime (Space Blue, 64 GB)",4.4,"1,46,073 Ratings & 9,757 Reviews","₹9,999"
"realme C20 (Cool Grey, 32 GB)",4.4,"1,17,704 Ratings & 5,223 Reviews","₹6,999"
"realme C20 (Cool Blue, 32 GB)",4.4,"1,17,704 Ratings & 5,223 Reviews","₹6,999"
"REDMI 9 Prime (Mint Green, 64 GB)",4.4,"1,46,073 Ratings & 9,757 Reviews","₹9,999"
"realme C25s (Watery Blue, 128 GB)",4.3,"5,838 Ratings & 375 Reviews","₹11,499"
"REDMI 9 Power (Mighty Black, 64 GB)",4.3,"1,17,557 Ratings & 8,132 Reviews","₹10,999"
"REDMI 9 Prime (Matte Black, 64 GB)",4.4,"1,46,073 Ratings & 9,757 Reviews","₹9,999"
"realme Narzo 30 (Racing Blue, 64 GB)",4.3,"7,414 Ratings & 629 Reviews","₹13,499"
"POCO M3 (Power Black, 64 GB)",4.4,"8,025 Ratings & 468 Reviews","₹10,499"
"Infinix Hot 10 Play (Obsidian Black, 32 GB)",4.5,"1,871 Ratings & 94 Reviews","₹7,999"
"POCO M3 (Cool Blue, 64 GB)",4.4,"8,025 Ratings & 468 Reviews","₹10,499"
"POCO C3 (Arctic Blue, 32 GB)",4.3,"2,78,837 Ratings & 19,444 Reviews","₹7,499"
"POCO M2 Reloaded (Mostly Blue, 64 GB)",4.3,"17,884 Ratings & 1,170 Reviews","₹9,999"
"realme Narzo 30 5G (Racing Silver, 128 GB)",4.4,"21,947 Ratings & 1,712 Reviews","₹15,999"
"realme Narzo 30 5G (Racing Blue, 128 GB)",4.4,"21,947 Ratings & 1,712 Reviews","₹15,999"
"REDMI Note 9 (Aqua Green, 64 GB)",4.3,"87,206 Ratings & 6,475 Reviews","₹11,999"
"realme Narzo 30 (Racing Silver, 64 GB)",4.4,"21,309 Ratings & 1,983 Reviews","₹12,499"
"POCO C3 (Matte Black, 64 GB)",4.3,"2,01,123 Ratings & 12,560 Reviews","₹8,499"
"realme 8 5G (Supersonic Black, 128 GB)",4.3,"38,432 Ratings & 2,929 Reviews","₹14,999"
"Infinix Hot 10 Play (7° Purple, 64 GB)",4.3,"52,026 Ratings & 3,998 Reviews","₹8,999"
